"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.minesparis.psl.eu/Formation/Formation-continue/Executive-Masteres-specialises/Liste-des-executive-MS/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?title=ConfA-copy-rence-A-copy-thique-et-intelligence-artificielle-Elise-Berlinski&idv=dZ4Ugg4w-2E","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Entreprise/Recrutez-nos-etudiants/Proposez-un-stage-ou-un-emploi/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=43060","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Bio-based-aerogels-new-eco-friendly-porous-materials-for-thermal-insulation-and-controlled-release&idv=vYdMzMZsfos","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Annuaire-docteurs/Detail/&?annee=2022&id=102072","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=43091","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=porEevKz1GY","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=B3Qg-uCOfeI","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?idv=jFEmZq_vF_k","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div/div[@class='video'][2]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-automatique-et-systemes-CAS/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
